2026-04-29 17:18:18,972 | INFO | main | Initializing database...
2026-04-29 17:18:18,985 | INFO | main | Starting mock sync...
2026-04-29 17:18:18,986 | INFO | sync_service | Account synced: demo_business
2026-04-29 17:18:18,987 | INFO | sync_service | Post synced: mock_post_001
2026-04-29 17:18:18,987 | INFO | sync_service | Post synced: mock_post_002
2026-04-29 17:18:18,988 | INFO | sync_service | Sync completed successfully.
2026-04-29 17:18:18,988 | INFO | main | Project setup test completed.
2026-04-29 17:22:18,499 | INFO | sync_service | Account synced: demo_business
2026-04-29 17:22:18,499 | INFO | sync_service | Post synced: mock_post_001
2026-04-29 17:22:18,499 | INFO | sync_service | Post synced: mock_post_002
2026-04-29 17:22:18,501 | INFO | sync_service | Sync completed successfully.
2026-04-29 17:22:32,160 | INFO | sync_service | Account synced: demo_business
2026-04-29 17:22:32,161 | INFO | sync_service | Post synced: mock_post_001
2026-04-29 17:22:32,161 | INFO | sync_service | Post synced: mock_post_002
2026-04-29 17:22:32,162 | INFO | sync_service | Sync completed successfully.
2026-04-29 17:31:35,897 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 1/3. Retrying in 0.0s. Error: temporary failure
2026-04-29 17:31:35,907 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 2/3. Retrying in 0.0s. Error: temporary failure
2026-04-29 17:31:35,932 | INFO | sync_service | Account synced: demo_business
2026-04-29 17:31:35,933 | INFO | sync_service | Post synced: mock_post_001
2026-04-29 17:31:35,933 | INFO | sync_service | Post synced: mock_post_002
2026-04-29 17:31:35,935 | INFO | sync_service | Sync completed successfully.
2026-05-23 13:05:42,833 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 1/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:05:42,844 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 2/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:05:43,424 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:05:44,878 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:05:47,359 | ERROR | meta_client | Operation 'get_profile_info' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:05:57,378 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 1/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:05:57,389 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 2/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:05:57,427 | INFO | sync_service | Account synced: demo_business
2026-05-23 13:05:57,427 | INFO | sync_service | Post synced: mock_post_001
2026-05-23 13:05:57,428 | INFO | sync_service | Post synced: mock_post_002
2026-05-23 13:05:57,429 | INFO | sync_service | Sync completed successfully.
2026-05-23 13:08:55,034 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 1/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:08:55,046 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 2/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:09:26,348 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 1/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:09:26,360 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 2/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:09:26,386 | INFO | sync_service | Account synced: demo_business
2026-05-23 13:09:26,386 | INFO | sync_service | Post synced: mock_post_001
2026-05-23 13:09:26,386 | INFO | sync_service | Post synced: mock_post_002
2026-05-23 13:09:26,387 | INFO | sync_service | Sync completed successfully.
2026-05-23 13:12:32,114 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 1/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:12:32,125 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 2/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:12:32,150 | INFO | sync_service | Fetching account profile...
2026-05-23 13:12:32,150 | INFO | sync_service | Fetching recent media...
2026-05-23 13:12:32,150 | INFO | sync_service | Retrieved 2 posts for account demo_business
2026-05-23 13:12:32,151 | INFO | sync_service | Account saved: demo_business (id=mock_account_001)
2026-05-23 13:12:32,151 | INFO | sync_service | Post skipped (already exists): mock_post_001
2026-05-23 13:12:32,151 | INFO | sync_service | Fetching insights for post: mock_post_001
2026-05-23 13:12:32,151 | INFO | sync_service | Insights saved for post: mock_post_001
2026-05-23 13:12:32,151 | INFO | sync_service | Post skipped (already exists): mock_post_002
2026-05-23 13:12:32,151 | INFO | sync_service | Fetching insights for post: mock_post_002
2026-05-23 13:12:32,152 | INFO | sync_service | Insights saved for post: mock_post_002
2026-05-23 13:12:32,154 | INFO | sync_service | Sync completed: account=demo_business, posts_synced=0, insights_synced=2
2026-05-23 13:12:41,688 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 1/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:12:41,699 | WARNING | test_retry | Operation 'flaky_operation' failed on attempt 2/3. Retrying in 0.0s. Error: temporary failure
2026-05-23 13:12:41,726 | INFO | sync_service | Fetching account profile...
2026-05-23 13:12:41,726 | INFO | sync_service | Fetching recent media...
2026-05-23 13:12:41,727 | INFO | sync_service | Retrieved 2 posts for account demo_business
2026-05-23 13:12:41,727 | INFO | sync_service | Account saved: demo_business (id=mock_account_001)
2026-05-23 13:12:41,728 | INFO | sync_service | Post saved: mock_post_001
2026-05-23 13:12:41,728 | INFO | sync_service | Fetching insights for post: mock_post_001
2026-05-23 13:12:41,728 | INFO | sync_service | Insights saved for post: mock_post_001
2026-05-23 13:12:41,728 | INFO | sync_service | Post saved: mock_post_002
2026-05-23 13:12:41,728 | INFO | sync_service | Fetching insights for post: mock_post_002
2026-05-23 13:12:41,728 | INFO | sync_service | Insights saved for post: mock_post_002
2026-05-23 13:12:41,730 | INFO | sync_service | Sync completed: account=demo_business, posts_synced=2, insights_synced=2
2026-05-23 13:14:17,889 | INFO | sync_service | Fetching account profile...
2026-05-23 13:14:18,407 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:14:19,865 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:14:22,314 | ERROR | meta_client | Operation 'get_profile_info' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:14:37,266 | INFO | sync_service | Fetching account profile...
2026-05-23 13:14:37,751 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:14:39,228 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:14:41,732 | ERROR | meta_client | Operation 'get_profile_info' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:15:29,789 | INFO | sync_service | Fetching account profile...
2026-05-23 13:15:30,277 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:15:31,737 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:15:34,193 | ERROR | meta_client | Operation 'get_profile_info' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:15:54,018 | INFO | sync_service | Fetching account profile...
2026-05-23 13:15:54,518 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:15:55,980 | WARNING | meta_client | Operation 'get_profile_info' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:15:58,438 | ERROR | meta_client | Operation 'get_profile_info' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/your_instagram_business_account_id?fields=username%2Cfollowers_count%2Cmedia_count%2Cbiography&access_token=your_instagram_access_token
2026-05-23 13:17:57,741 | INFO | sync_service | Fetching account profile...
2026-05-23 13:17:58,425 | INFO | sync_service | Fetching recent media...
2026-05-23 13:17:59,231 | INFO | sync_service | Retrieved 20 posts for account dentalb_ku
2026-05-23 13:17:59,232 | INFO | sync_service | Account saved: dentalb_ku (id=17841409576371357)
2026-05-23 13:17:59,233 | INFO | sync_service | Post saved: 18171459604377771
2026-05-23 13:17:59,233 | INFO | sync_service | Fetching insights for post: 18171459604377771
2026-05-23 13:17:59,826 | WARNING | meta_client | Operation 'get_media_insights:18171459604377771' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/18171459604377771/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:01,444 | WARNING | meta_client | Operation 'get_media_insights:18171459604377771' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/18171459604377771/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:04,077 | ERROR | meta_client | Operation 'get_media_insights:18171459604377771' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/18171459604377771/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:04,077 | ERROR | sync_service | Failed to sync insights for post 18171459604377771: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/18171459604377771/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:04,077 | INFO | sync_service | Post saved: 17861066040071611
2026-05-23 13:18:04,077 | INFO | sync_service | Fetching insights for post: 17861066040071611
2026-05-23 13:18:04,732 | WARNING | meta_client | Operation 'get_media_insights:17861066040071611' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17861066040071611/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:06,371 | WARNING | meta_client | Operation 'get_media_insights:17861066040071611' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17861066040071611/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:09,003 | ERROR | meta_client | Operation 'get_media_insights:17861066040071611' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17861066040071611/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:09,004 | ERROR | sync_service | Failed to sync insights for post 17861066040071611: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17861066040071611/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:09,004 | INFO | sync_service | Post saved: 17980298879439026
2026-05-23 13:18:09,004 | INFO | sync_service | Fetching insights for post: 17980298879439026
2026-05-23 13:18:09,658 | WARNING | meta_client | Operation 'get_media_insights:17980298879439026' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17980298879439026/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:11,986 | WARNING | meta_client | Operation 'get_media_insights:17980298879439026' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17980298879439026/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:15,289 | ERROR | meta_client | Operation 'get_media_insights:17980298879439026' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17980298879439026/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:15,289 | ERROR | sync_service | Failed to sync insights for post 17980298879439026: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/17980298879439026/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:15,289 | INFO | sync_service | Post saved: 18089855887321402
2026-05-23 13:18:15,289 | INFO | sync_service | Fetching insights for post: 18089855887321402
2026-05-23 13:18:15,855 | WARNING | meta_client | Operation 'get_media_insights:18089855887321402' failed on attempt 1/3. Retrying in 1.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/18089855887321402/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:17,537 | WARNING | meta_client | Operation 'get_media_insights:18089855887321402' failed on attempt 2/3. Retrying in 2.0s. Error: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/18089855887321402/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
2026-05-23 13:18:20,174 | ERROR | meta_client | Operation 'get_media_insights:18089855887321402' failed after 3 attempts: 400 Client Error: Bad Request for url: https://graph.facebook.com/v18.0/18089855887321402/insights?metric=likes%2Ccomments%2Cshares%2Csaved%2Creach%2Cimpressions&access_token=EAAQ6YYriC44BRvkQjuTtRNpks0jcXG4WZBabdoqA4MyZAYeFGJTp3BsqiTWGpFyxPk13tYiL3y81emCJ2dDYQzBLvi2ucWIFGhVd9ZCVqUZCw64mhBmu8NX37sZAYb8CmphHyp5wBbVWNT1IAxJDI7inSEcmLIbQAxkW1U8WK4WYyheun6XCZA3BMHxVJ23LYJdTbzVzOamlTjV90rB0mdtZB2HDMZAW8VwMdGZCkSIPhgujrKP1cQU9EFFDhxqIEi1jxvY4F7oxzYS3EzogQ0kizVOG9
